Year,School,Conf,Wins,Losses,Win Pct,Conf Wins,Conf Losses,Conf Win Pct,Off PPG,Def PPG,SRS,SOS,AP Pre,AP High,AP Rank,Football Total Operating Expenses
2021,South Florida,American,2,10,0.167,1,7,0.125,23.2,34.7,-8.33,1.59,,,,"$18,695,340"
2022,South Florida,American,1,11,0.083,0,8,0,28,41.2,-10.11,1.97,,,,"$22,057,648"
2017,Southern Mississippi,CUSA,8,5,0.615,6,2,0.75,29.2,24.5,-5.49,-8.18,,,,"$7,410,263"
2018,Southern Mississippi,CUSA,6,5,0.545,5,3,0.625,26.2,19.8,-4.18,-7.36,,,,"$7,771,672"
2019,Southern Mississippi,CUSA,7,6,0.538,5,3,0.625,26.6,26.2,-2.9,-3.67,,,,"$8,441,224"
2020,Southern Mississippi,CUSA,3,7,0.3,2,4,0.333,25.3,32.3,-14.39,-7.79,,,,"$8,698,148"
2021,Southern Mississippi,CUSA,3,9,0.25,2,6,0.25,17.7,27.9,-13.12,-4.62,,,,"$8,697,292"
2022,Southern Mississippi,Sun Belt,7,6,0.538,4,4,0.5,25.3,23.5,-3.89,-3.81,,,,"$9,978,519"
2017,Tennessee,SEC,4,8,0.333,0,8,0,19.8,29.1,-3.18,3.41,25,23,,"$58,832,994"
2018,Tennessee,SEC,5,7,0.417,2,6,0.25,22.8,27.9,0.39,6.05,,,,"$52,739,842"
2019,Tennessee,SEC,8,5,0.615,5,3,0.625,24.2,21.7,5.13,2.74,,,,"$55,730,413"
2020,Tennessee,SEC,3,7,0.3,3,7,0.3,21.5,30.1,1.49,8.89,25,14,,"$45,899,235"
2021,Tennessee,SEC,7,6,0.538,4,4,0.5,39.3,29.1,7.97,3.5,,,,"$47,194,884"
2022,Tennessee,SEC,11,2,0.846,6,2,0.75,46.1,22.8,17.9,4.98,,2,6,"$59,112,823"
2017,Texas,Big 12,7,6,0.538,5,4,0.556,29.5,21.2,8.21,3.91,23,23,,"$40,936,348"
2018,Texas,Big 12,10,4,0.714,7,2,0.778,31.1,25.9,11.15,6.3,23,6,9,"$43,039,170"
2019,Texas,Big 12,8,5,0.615,5,4,0.556,35.2,27.5,12.18,5.8,10,9,25,"$41,849,062"
2020,Texas,Big 12,7,3,0.7,5,3,0.625,42.7,28.5,11.95,3.75,14,8,19,"$43,648,896"
2021,Texas,Big 12,5,7,0.417,3,6,0.333,35.3,31.1,5.11,4.86,21,15,,"$51,550,666"
